Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,sales category,Month,Year
CA-2015-103800,03-01-15,07-01-15,Standard Class,Darren Powers,Consumer,United States,Houston,Texas,Central,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.45,Low,Jan,2015
CA-2015-112326,04-01-15,08-01-15,Standard Class,Phillina Ober,Home Office,United States,Naperville,Illinois,Central,Office Supplies,Labels,Avery 508,11.78,Low,Jan,2015
CA-2015-112326,04-01-15,08-01-15,Standard Class,Phillina Ober,Home Office,United States,Naperville,Illinois,Central,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.74,Low,Jan,2015
CA-2015-112326,04-01-15,08-01-15,Standard Class,Phillina Ober,Home Office,United States,Naperville,Illinois,Central,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.54,Low,Jan,2015
CA-2015-141817,05-01-15,12-01-15,Standard Class,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.54,Low,Jan,2015
CA-2015-130813,06-01-15,08-01-15,Second Class,Lycoris Saunders,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,Xerox 225,19.44,Low,Jan,2015
CA-2015-106054,06-01-15,07-01-15,First Class,Jack O'Briant,Corporate,United States,Athens,Georgia,South,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,Low,Jan,2015
CA-2015-167199,06-01-15,10-01-15,Standard Class,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,"2,573.82",High,Jan,2015
CA-2015-167199,06-01-15,10-01-15,Standard Class,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,Medium,Jan,2015
CA-2015-167199,06-01-15,10-01-15,Standard Class,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,Low,Jan,2015
CA-2015-167199,06-01-15,10-01-15,Standard Class,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,Technology,Phones,GE 30524EE4,391.98,Low,Jan,2015
CA-2015-167199,06-01-15,10-01-15,Standard Class,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,Medium,Jan,2015
CA-2015-167199,06-01-15,10-01-15,Standard Class,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,Low,Jan,2015
CA-2015-167199,06-01-15,10-01-15,Standard Class,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,Low,Jan,2015
CA-2015-105417,07-01-15,12-01-15,Standard Class,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,Central,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.73,Low,Jan,2015
CA-2015-105417,07-01-15,12-01-15,Standard Class,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,Central,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43,Low,Jan,2015
CA-2015-135405,09-01-15,13-01-15,Standard Class,Melanie Seite,Consumer,United States,Laredo,Texas,Central,Office Supplies,Art,Newell 312,9.34,Low,Jan,2015
CA-2015-135405,09-01-15,13-01-15,Standard Class,Melanie Seite,Consumer,United States,Laredo,Texas,Central,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.20,Low,Jan,2015
CA-2015-149020,10-01-15,15-01-15,Standard Class,Anthony Jacobs,Corporate,United States,Springfield,Virginia,South,Office Supplies,Labels,Avery 482,2.89,Low,Jan,2015
CA-2015-149020,10-01-15,15-01-15,Standard Class,Anthony Jacobs,Corporate,United States,Springfield,Virginia,South,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,Low,Jan,2015
CA-2015-130092,11-01-15,14-01-15,First Class,Seth Vernon,Consumer,United States,Dover,Delaware,East,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,Low,Jan,2015
CA-2015-162775,13-01-15,15-01-15,Second Class,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,South,Office Supplies,Envelopes,Staple envelope,11.36,Low,Jan,2015
CA-2015-162775,13-01-15,15-01-15,Second Class,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,South,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,Low,Jan,2015
CA-2015-162775,13-01-15,15-01-15,Second Class,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,South,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,Medium,Jan,2015
CA-2015-162775,13-01-15,15-01-15,Second Class,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,South,Office Supplies,Binders,3-ring staple pack,5.64,Low,Jan,2015
CA-2015-162775,13-01-15,15-01-15,Second Class,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,South,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,Medium,Jan,2015
CA-2015-109232,13-01-15,16-01-15,Second Class,Natalie DeCherney,Consumer,United States,Mount Pleasant,South Carolina,South,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,Medium,Jan,2015
CA-2015-157147,13-01-15,18-01-15,Standard Class,Brian Dahlen,Consumer,United States,San Francisco,California,West,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,"1,325.85",High,Jan,2015
CA-2015-157147,13-01-15,18-01-15,Standard Class,Brian Dahlen,Consumer,United States,San Francisco,California,West,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",334.00,Low,Jan,2015
CA-2015-157147,13-01-15,18-01-15,Standard Class,Brian Dahlen,Consumer,United States,San Francisco,California,West,Office Supplies,Art,4009 Highlighters by Sanford,19.90,Low,Jan,2015
CA-2015-118192,13-01-15,18-01-15,Standard Class,Michael Moore,Consumer,United States,Newark,Ohio,East,Office Supplies,Paper,Xerox 1923,37.41,Low,Jan,2015
CA-2015-118192,13-01-15,18-01-15,Standard Class,Michael Moore,Consumer,United States,Newark,Ohio,East,Office Supplies,Binders,Avery Metallic Poly Binders,3.44,Low,Jan,2015
CA-2015-149524,14-01-15,15-01-15,First Class,Brendan Sweed,Corporate,United States,Philadelphia,Pennsylvania,East,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,Low,Jan,2015
CA-2015-103366,15-01-15,17-01-15,First Class,Erica Hackney,Consumer,United States,Roswell,Georgia,South,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,Low,Jan,2015
CA-2015-115791,16-01-15,18-01-15,Second Class,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.10,Low,Jan,2015
CA-2015-115791,16-01-15,18-01-15,Second Class,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Phones,AT&T 841000 Phone,124.20,Low,Jan,2015
CA-2015-115791,16-01-15,18-01-15,Second Class,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,GBC Linen Binding Covers,18.59,Low,Jan,2015
CA-2015-115791,16-01-15,18-01-15,Second Class,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.07,Low,Jan,2015
CA-2015-123477,18-01-15,21-01-15,Second Class,David Wiener,Corporate,United States,Springfield,Oregon,West,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.86,Low,Jan,2015
CA-2015-146591,19-01-15,20-01-15,First Class,Toby Swindell,Consumer,United States,Scottsdale,Arizona,West,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,Low,Jan,2015
CA-2015-146591,19-01-15,20-01-15,First Class,Toby Swindell,Consumer,United States,Scottsdale,Arizona,West,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.06,Low,Jan,2015
CA-2015-146591,19-01-15,20-01-15,First Class,Toby Swindell,Consumer,United States,Scottsdale,Arizona,West,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,Low,Jan,2015
CA-2015-146591,19-01-15,20-01-15,First Class,Toby Swindell,Consumer,United States,Scottsdale,Arizona,West,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,Low,Jan,2015
US-2015-147627,20-01-15,26-01-15,Standard Class,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,South,Technology,Phones,Apple iPhone 5C,699.93,Medium,Jan,2015
US-2015-147627,20-01-15,26-01-15,Standard Class,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,South,Office Supplies,Art,Newell 351,22.96,Low,Jan,2015
US-2015-147627,20-01-15,26-01-15,Standard Class,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,South,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.60,Low,Jan,2015
US-2015-147627,20-01-15,26-01-15,Standard Class,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,South,Office Supplies,Art,Newell 327,6.63,Low,Jan,2015
